Assembly	num_contigs	total_length	identity
lossless_flye	1	5104094	99.59491%
lossless_rebaler	1	5101395	99.58023%
lossless_medaka	1	5112261	99.70832%
LFZip_maxerror_1_flye	1	5104076	99.59438%
LFZip_maxerror_1_rebaler	1	5101476	99.57699%
LFZip_maxerror_1_medaka	1	5112189	99.71526%
SZ_maxerror_1_flye	1	5104012	99.59589%
SZ_maxerror_1_rebaler	1	5101330	99.57021%
SZ_maxerror_1_medaka	1	5112298	99.70734%
LFZip_maxerror_2_flye	1	5104040	99.58793%
LFZip_maxerror_2_rebaler	1	5101483	99.5622%
LFZip_maxerror_2_medaka	1	5112172	99.71035%
SZ_maxerror_2_flye	1	5104047	99.59002%
SZ_maxerror_2_rebaler	1	5101401	99.5671%
SZ_maxerror_2_medaka	1	5112217	99.70837%
LFZip_maxerror_3_flye	1	5103884	99.57823%
LFZip_maxerror_3_rebaler	1	5101155	99.55137%
LFZip_maxerror_3_medaka	1	5111994	99.69733%
SZ_maxerror_3_flye	1	5104050	99.58718%
SZ_maxerror_3_rebaler	1	5101208	99.56634%
SZ_maxerror_3_medaka	1	5112203	99.70432%
LFZip_maxerror_4_flye	1	5103674	99.57314%
LFZip_maxerror_4_rebaler	1	5101234	99.55832%
LFZip_maxerror_4_medaka	1	5112354	99.68742%
SZ_maxerror_4_flye	1	5103737	99.59391%
SZ_maxerror_4_rebaler	1	5101021	99.54627%
SZ_maxerror_4_medaka	1	5112230	99.69938%
LFZip_maxerror_5_flye	1	5103540	99.57225%
LFZip_maxerror_5_rebaler	1	5101090	99.54245%
LFZip_maxerror_5_medaka	1	5112228	99.69742%
SZ_maxerror_5_flye	1	5103640	99.56216%
SZ_maxerror_5_rebaler	1	5101018	99.53941%
SZ_maxerror_5_medaka	1	5112150	99.69539%
LFZip_maxerror_6_flye	1	5103357	99.57127%
LFZip_maxerror_6_rebaler	1	5100783	99.52735%
LFZip_maxerror_6_medaka	1	5112070	99.68743%
SZ_maxerror_6_flye	1	5103336	99.56816%
SZ_maxerror_6_rebaler	1	5100800	99.53339%
SZ_maxerror_6_medaka	1	5112045	99.69133%
LFZip_maxerror_7_flye	1	5103007	99.55318%
LFZip_maxerror_7_rebaler	1	5100538	99.51368%
LFZip_maxerror_7_medaka	1	5112133	99.67541%
SZ_maxerror_7_flye	1	5103222	99.54919%
SZ_maxerror_7_rebaler	1	5100445	99.52443%
SZ_maxerror_7_medaka	1	5111959	99.67439%
LFZip_maxerror_8_flye	1	5102916	99.54862%
LFZip_maxerror_8_rebaler	1	5100384	99.49964%
LFZip_maxerror_8_medaka	1	5112051	99.65746%
SZ_maxerror_8_flye	1	5102759	99.52725%
SZ_maxerror_8_rebaler	1	5100287	99.49169%
SZ_maxerror_8_medaka	1	5111889	99.65655%
LFZip_maxerror_9_flye	1	5102246	99.51449%
LFZip_maxerror_9_rebaler	1	5099640	99.45546999999999%
LFZip_maxerror_9_medaka	1	5111877	99.62849%
SZ_maxerror_9_flye	1	5102171	99.4926%
SZ_maxerror_9_rebaler	1	5099799	99.46674%
SZ_maxerror_9_medaka	1	5112022	99.62748%
LFZip_maxerror_10_flye	1	5101686	99.47766%
LFZip_maxerror_10_rebaler	1	5099519	99.43494000000001%
LFZip_maxerror_10_medaka	1	5111824	99.62754%
SZ_maxerror_10_flye	1	5101313	99.46152%
SZ_maxerror_10_rebaler	1	5098388	99.41165000000001%
SZ_maxerror_10_medaka	1	5111317	99.6066%
